--Arsenal players
'David Ospina', 13, 'Arsenal', 'Colombia', 'GoalKeeper'
'Petr Cech', 33, 'Arsenal', 'Czech Republic', 'GoalKeeper'
'Emiliano Martinez', 26, 'Arsenal', 'Argentina', 'GoalKeeper'
'Mathieu Debuchy', 2, 'Arsenal', 'France', 'Defender'
'Kieran Gibbs', 3, 'Arsenal', 'England', 'Defender'
'Per Mertesacker', 4, 'Arsenal', 'Germany', 'Defender'
'Gabriel', 5, 'Arsenal', 'Brazil', 'Defender'
'Laurent Koscielny', 6, 'Arsenal', 'France', 'Defender'
'Nacho Monreal', 18, 'Arsenal', 'Spain', 'Defender'
'Hector Bellerin', 24, 'Arsenal', 'Spain', 'Defender'
'Carl Jenkinson', 25, 'Arsenal', 'England', 'Defender'
'Rob Holding', 16, 'Arsenal', 'England', 'Defender'
'Shkodran Mustafi', 20, 'Arsenal', 'Germany', 'Defender'
'Mesut Ozil', 11, 'Arsenal', 'Germany', 'Midfielder'
'Alex Oxlade-Chamberlain', 15, 'Arsenal', 'England', 'Midfielder' 
'Aaron Ramsey', 8, 'Arsenal', 'Wales', 'Midfielder'
'Santiago Cazorla', 19, 'Arsenal', 'Spain', 'Midfielder'
'Francis Coquelin', 34, 'Arsenal', 'France', 'Midfielder'
'Mohamed Elneny', 35, 'Arsenal', 'Egypt', 'Midfielder'
'Alex Iwobi', 17, 'Arsenal', 'Nigeria', 'Midfielder'
'Granit Xhaka', 29, 'Arsenal', 'Switzerland', 'Midfielder'
'Jeff Riene-Adelaide', 31, 'Arsenal', 'France', 'Midfielder'
'Ben Sheaf', 65, 'Arsenal', 'England', 'Midfielder'
'Chris Willock', 68, 'Arsenal', 'England', 'Midfielder'
'Ainsley Maitland-Niles', 55, 'Arsenal', 'England', 'Midfielder'
'Olivier Giroud', 12, 'Arsenal', 'France', 'Forward'
'Theo Walcott', 14, 'Arsenal', 'England', 'Forward'
'Alexis Sanchez', 7, 'Arsenal', 'Chile', 'Forward'
'Yaya Sanogo', 22, 'Arsenal', 'France', 'Forward'
'Danny Welbeck', 23, 'Arsenal', 'England', 'Forward'
'Takuma Asano', 0, 'Arsenal', 'Japan', 'Forward'
'Lucas Perez', 9, 'Arsenal', 'Spain', 'Forward'
'Josh Da Silva', 41, 'Arsenal', 'England', 'Forward'
