'Adam Federici', 23, 'AFC Bournemouth', 'Australia', 'GoalKeeper'
'Artur Boruc', 1, 'AFC Bournemouth', 'Poland', 'GoalKeeper'
'Ryan Allsop', 21, 'AFC Bournemouth', 'England', 'GoalKeeper'
'Simon Francis', 2, 'AFC Bournemouth', 'England', 'Defender'
'Steve Cook', 3, 'AFC Bournemouth', 'England', 'Defender'
'Charlie Daniels', 3, 'AFC Bournemouth', 'England', 'Defender'
'Tyrone Mings', 26, 'AFC Bournemouth', 'England', 'Defender'
'Adam Smith', 15, 'AFC Bournemouth', 'England', 'Defender'
'Brad Smith', 14, 'AFC Bournemouth', 'Australia', 'Defender'
'Corey Jordan', 37, 'AFC Bournemouth', 'England', 'Defender'
'Ollie Harfield', 40, 'AFC Bournemouth', 'England', 'Defender'
'Jack Simpson', 42, 'AFC Bournemouth', 'England', 'Defender'
'Baily Cargill', 30, 'AFC Bournemouth', 'England', 'Defender'
'Dan Gosling', 4, 'AFC Bournemouth', 'England', 'Midfielder'
'Andrew Surman', 6, 'AFC Bournemouth', 'England', 'Midfielder'
'Marc Pugh', 7, 'AFC Bournemouth', 'England', 'Midfielder'
'Harry Arter', 8, 'AFC Bournemouth', 'Ireland', 'Midfielder'
'Junior Stanislas', 19, 'AFC Bournemouth', 'England', 'Midfielder'
'Lewis Cook', 18, 'AFC Bournemouth', 'England', 'Midfielder'
'Jordan Ibe', 33, 'AFC Bournemouth', 'England', 'Midfielder'
'Ryan Fraser', 24, 'AFC Bournemouth', 'Scotland', 'Midfielder'
'Jack Wilshere', 32, 'AFC Bournemouth', 'England', 'Midfielder'
'Keelan O''Connell', 52, 'AFC Bournemouth', 'England', 'Midfielder' 
'Max Gradel', 10, 'AFC Bournemouth', 'Cote D''Ivoire', 'Forward'
'Callum Wilson', 13, 'AFC Bournemouth', 'England', 'Forward'
'Joshua King', 17, 'AFC Bournemouth', 'Norway', 'Forward'
'Benik Afobe', 9, 'AFC Bournemouth', 'Congo', 'Forward'
'Lys Mousset', 31, 'AFC Bournemouth', 'France', 'Forward'
