'Tom Heaton', 1, 'Burnley', 'England', 'GoalKeeper'
'Paul Robinson', 17, 'Burnley', 'England', 'GoalKeeper'
'Nick Pope', 29, 'Burnley', 'England', 'GoalKeeper'
'Matthew Lowton', 2, 'Burnley', 'England', 'Defender'
'Ben Mee', 6, 'Burnley', 'England', 'Defender'
'Stephen Ward', 23, 'Burnley', 'Ireland', 'Defender'
'James Tarkowski', 26, 'Burnley', 'England', 'Defender'
'Tendayi Darikwa', 27, 'Burnley', 'England', 'Defender'
'Jon Flanagan', 4, 'Burnley', 'England', 'Defender'
'Kevin Long', 28, 'Burnley', 'Ireland', 'Defender'
'Michael Keane', 5, 'Burnley', 'England', 'Defender'
'Dean Marney', 8, 'Burnley', 'England', 'Defender'
'George Boyd', 21, 'Burnley', 'Scotland', 'Midfielder'
'Scott Arfield', 37, 'Burnley', 'Canada', 'Midfielder'
'Johann Berg Gudmundsson', 25, 'Burnley', 'Iceland', 'Midfielder'
'Steven Defour', 16, 'Burnley', 'Belgium', 'Midfielder'
'Jeff Hendrick', 13, 'Burnley', 'Ireland', 'Midfielder'
'Joey Barton', 19, 'Burnley', 'England', 'Midfielder'
'Robbie Brady', 12, 'Burnley', 'Ireland', 'Midfielder'
'Ashley Westwood', 18, 'Burnley', 'England', 'Midfielder'
'Andre Gray', 7, 'Burnley', 'England', 'Midfielder'
'Sam Vokes', 9, 'Burnley', 'Wales', 'Midfielder'
'Ashley Barnes', 10, 'Burnley', 'Austria', 'Midfielder'
'Daniel Agyei', 32, 'Burnley', 'England', 'Midfielder'
