'Asmir Begovic', 1, 'Chelsea', 'Bosnia and Herzegovina', 'GoalKeeper'
'Thibaut Courtois', 13, 'Chelsea', 'Belgium', 'GoalKeeper'
'Eduardo', 37, 'Chelsea', 'Portugal', 'GoalKeeper'
'Kurt Zouma', 5, 'Chelsea', 'France', 'Defender'
'Gary Cahill', 24, 'Chelsea', 'England', 'Defender'
'John Terry', 26, 'Chelsea', 'England', 'Defender'
'Cesar Azpilicueta', 28, 'Chelsea', 'Spain', 'Defender'
'Ola Aina', 34, 'Chelsea', 'England', 'Defender'
'Marcos Alonso', 3, 'Chelsea', 'Spain', 'Defender'
'David Luiz', 30, 'Chelsea', 'Brazil', 'Defender'
'Nathan Ake', 6, 'Chelsea', 'Netherlands', 'Defender'
'Cesc Fabergas', 4, 'Chelsea', 'Spain', 'Midfielder'
'Eden Hazard', 10, 'Chelsea', 'Belgium', 'Midfielder'
'Nemanja Matic', 21, 'Chelsea', 'Serbia', 'Midfielder'
'William', 22, 'Chelsea', 'Brazil', 'Midfielder'
'Ruben Loftus-Cheek', 14, 'Chelsea', 'England', 'Midfielder'
'Victor Moses', 15, 'Chelsea', 'Nigeria', 'Midfielder'
'N''Golo Kante', 7, 'Chelsea', 'France', 'Midfielder'
'Nathaniel Chalobah', 29, 'Chelsea', 'England', 'Midfielder'
'Pedro', 11, 'Chelsea', 'Spain', 'Forward'
'Diego Costa', 19, 'Chelsea', 'Spain', 'Forward'
'Michy Batshuayi', 23, 'Chelsea', 'Belgium', 'Forward'
'Dominic Solanke', 41, 'Chelsea', 'England', 'Forward'
'Kenedy', 0, 'Chelsea', 'Brazil', 'Forward'
