'Julian Speroni', 1, 'Crystal Palace', 'Argentina', 'GoalKeeper'
'Wayne Hennessey', 13, 'Crystal Palace', 'Wales', 'GoalKeeper'
'Steve Mandanda', 30, 'Crystal Palace', 'France', 'GoalKeeper'
'Kleton Perntreou', 40, 'Crystal Palace', 'Greece', 'GoalKeeper'
'Joel Ward', 2, 'Crystal Palace', 'England', 'Defender'
'Scott Dann', 6, 'Crystal Palace', 'England', 'GoalKeeper'
'Pape Souare', 23, 'Crystal Palace', 'Senegal', 'Defender'
'Damien Delaney', 27, 'Crystal Palace', 'Ireland', 'Defender'
'Martin Kelly', 34, 'Crystal Palace', 'England', 'Defender'
'James Tomkins', 5, 'Crystal Palace', 'England', 'Defender'
'Ezekiel Fryers', 19, 'Crystal Palace', 'England', 'Defender'
'Ben Wynter', 44, 'Crystal Palace', 'England', 'Defender'
'Michael Phillips', 45, 'Crystal Palace', 'England', 'Defender'
'Patrick van Aanholt', 0, 'Crystal Palace', 'Netherlands', 'Defender'
'Mamadou Sakho', 12, 'Crystal Palace', 'France', 'Defender'
'Yohan Cabaye', 7, 'Crystal Palace', 'France', 'Midfielder'
'Wilfried Zaha', 11, 'Crystal Palace', 'Cote D''Ivoire', 'Midfielder' 
'Lee Chung-yong', 14, 'Crystal Palace', 'South Korea', 'Midfielder'
'James McArthur', 18, 'Crystal Palace', 'Scotland', 'Midfielder'
'Bakary Sako', 26, 'Crystal Palace', 'Mali', 'Midfielder'
'Joe Ledley', 16, 'Crystal Palace', 'Wales', 'Midfielder'
'Jason Puncheon', 42, 'Crystal Palace', 'England', 'Midfielder'
'Andros Townsend', 10, 'Crystal Palace', 'England', 'Midfielder'
'Mathieu Flamini', 4, 'Crystal Palace', 'France', 'Midfielder'
'Luke Dreher', 35, 'Crystal Palace', 'England', 'Midfielder'
'Aaron Wan-Bissaka', 46, 'Crystal Palace', 'England', 'Midfielder'
'Sullay Kaikai', 25, 'Crystal Palace', 'England', 'Midfielder'
'Jeffrey Schlupp', 31, 'Crystal Palace', 'Ghana', 'Midfielder'
'Luka Milivojevic', 28, 'Crystal Palace', 'Serbia', 'Midfielder'
'Fraizer Campbell', 9, 'Crystal Palace', 'England', 'Forward'
'Connor Wickham', 21, 'Crystal Palace', 'England', 'Forward'
'Christian Benteke', 17, 'Crystal Palace', 'Belgium', 'Forward'
'Loic Remy', 8, 'Crystal Palace', 'France', 'Forward'
'Jonathan Benteke', 15, 'Crystal Palace', 'Belgium', 'Forward'
