'Eldin Jakupovic', 16, 'Hull City', 'Switzerland', 'GoalKeeper'
'William Mannion', 35, 'Hull City', 'England', 'GoalKeeper'
'David Marshall', 23, 'Hull City', 'Scotland', 'GoalKeeper'
'Curtis Davies', 6, 'Hull City', 'England', 'Defender'
'Harry Maguire', 5, 'Hull City', 'England', 'Defender'
'Michael Dawson', 21, 'Hull City', 'England', 'Defender'
'Andrew Robertson', 3, 'Hull City', 'Scotland', 'Defender'
'Brian Lenihan', 31, 'Hull City', 'Ireland', 'Defender'
'Josh Tymon', 28, 'Hull City', 'England', 'Defender'
'Ahmed Elmohamady', 27, 'Hull City', 'Egypt', 'Defender'
'Omar Elabdellaoui', 14, 'Hull City', 'Norway', 'Defender'
'Andrea Ranocchia', 13, 'Hull City', 'Italy', 'Defender'
'Moses Odubajo', 2, 'Hull City', 'England', 'Midfielder'
'David Meyler', 7, 'Hull City', 'Ireland', 'Midfielder'
'Tom Huddlestone', 8, 'Hull City', 'England', 'Midfielder'
'Sam Clucas', 11, 'Hull City', 'England', 'Midfielder'
'Shaum Maloney', 15, 'Hull City', 'Scotland', 'Midfielder'
'Greg Olley', 36, 'Hull City', 'England', 'Midfielder'
'Ryan Mason', 25, 'Hull City', 'England', 'Midfielder'
'Evandro', 40, 'Hull City', 'Brazil', 'Midfielder'
'Lazar Markovic', 0, 'Hull City', 'Serbia', 'Midfielder'
'Alfred N''Diaye', 10, 'Hull City', 'Senegal', 'Midfielder'
'Kamil Grosicki', 17, 'Hull City', 'Poland', 'Midfielder'
'Abel Hernandez', 9, 'Hull City', 'Uruguay', 'Midfielder'
'Adama Diomande', 20, 'Hull City', 'Norway', 'Forward'
'Greg Luer', 32, 'Hull City', 'England', 'Forward'
'Ben Hinchcliffe', 39, 'Hull City', 'England', 'Forward'
'Will Keane', 19, 'Hull City', 'England', 'Forward'
'Dieumerci Mbokani', 18, 'Hull City', 'Congo', 'Forward'
'Jarrod Bowen', 29, 'Hull City', 'England', 'Forward'
'Oumar Niasee', 24, 'Hull City', 'Senegal', 'Forward'
