'Dimitrios Konstantopoulos', 1, 'Middlesbrough', 'Greece', 'GoalKeeper'
'Victor Valdes', 26, 'Middlesbrough', 'Spain', 'GoalKeeper'
'Brad Guzan', 12, 'Middlesbrough', 'United States', 'GoalKeeper'
'George Friend', 3, 'Middlesbrough', 'England', 'Defender'
'Daniel Ayala', 4, 'Middlesbrough', 'Spain', 'Defender'
'Ben Gibson', 6, 'Middlesbrough', 'England', 'Defender'
'Bernardo', 5, 'Middlesbrough', 'Colombia', 'Defender'
'Antonio Barragan', 17, 'Middlesbrough', 'Spain', 'Defender'
'Fabio', 2, 'Middlesbrough', 'Brazil', 'Defender'
'James Husband', 40, 'Middlesbrough', 'England', 'Defender'
'Calum Chambers', 25, 'Middlesbrough', 'England', 'Defender'
'Dael Fry', 22, 'Middlesbrough', 'England', 'Defender'
'Grant Leadbitter', 7, 'Middlesbrough', 'England', 'Midfielder'
'Adam Clayton', 8, 'Middlesbrough', 'England', 'Midfielder'
'Stewart Downing', 19, 'Middlesbrough', 'England', 'Midfielder'
'Adam Forshaw', 34, 'Middlesbrough', 'England', 'Midfielder'
'Marten de Roon', 14, 'Middlesbrough', 'Netherlands', 'Midfielder'
'Adama Traore', 37, 'Middlesbrough', 'Spain', 'Midfielder'
'Gaston Ramirez', 21, 'Middlesbrough', 'Uruguay', 'Midfielder'
'Adlene Guedioura', 27, 'Middlesbrough', 'Algeria', 'Midfielder'
'Cristhian Stuani', 18, 'Middlesbrough', 'Uruguay', 'Forward'
'Viktor Fischer', 11, 'Middlesbrough', 'Denmark', 'Forward'
'Alvaro Negredo', 10, 'Middlesbrough', 'Spain', 'Forward'
'Rudy Gestede', 29, 'Middlesbrough', 'Benin', 'Forward'
